cola_p1,cola_p2,dist_p1,dist_p2,decision_correcta
3,2,5.0,12.0,Pala 1
28,6,5.0,12.0,Pala 2
17,48,5.0,12.0,Pala 1
25,38,5.0,12.0,Pala 1
43,0,5.0,12.0,Pala 2
33,48,5.0,12.0,Pala 1
9,16,5.0,12.0,Pala 1
35,42,5.0,12.0,Pala 1
13,24,5.0,12.0,Pala 1
30,2,5.0,12.0,Pala 2
47,14,5.0,12.0,Pala 2
14,28,5.0,12.0,Pala 1
7,42,5.0,12.0,Pala 1
13,31,5.0,12.0,Pala 1
22,25,5.0,12.0,Pala 1
39,15,5.0,12.0,Pala 2
20,24,5.0,12.0,Pala 1
15,27,5.0,12.0,Pala 1
44,8,5.0,12.0,Pala 2
17,0,5.0,12.0,Pala 2
46,28,5.0,12.0,Pala 2
23,21,5.0,12.0,Pala 1
25,15,5.0,12.0,Pala 2
24,40,5.0,12.0,Pala 1
44,43,5.0,12.0,Pala 2
40,40,5.0,12.0,Pala 1
28,6,5.0,12.0,Pala 2
14,13,5.0,12.0,Pala 2
44,28,5.0,12.0,Pala 2
0,18,5.0,12.0,Pala 1
24,18,5.0,12.0,Pala 1
6,1,5.0,12.0,Pala 1
8,40,5.0,12.0,Pala 1
23,44,5.0,12.0,Pala 1
0,14,5.0,12.0,Pala 1
43,2,5.0,12.0,Pala 2
7,10,5.0,12.0,Pala 1
23,45,5.0,12.0,Pala 1
10,29,5.0,12.0,Pala 1
16,39,5.0,12.0,Pala 1
7,17,5.0,12.0,Pala 1
34,47,5.0,12.0,Pala 1
34,1,5.0,12.0,Pala 2
32,31,5.0,12.0,Pala 1
4,7,5.0,12.0,Pala 1
41,21,5.0,12.0,Pala 2
38,5,5.0,12.0,Pala 2
40,11,5.0,12.0,Pala 2
27,46,5.0,12.0,Pala 1
6,39,5.0,12.0,Pala 1
8,35,5.0,12.0,Pala 1
7,14,5.0,12.0,Pala 1
11,27,5.0,12.0,Pala 1
33,48,5.0,12.0,Pala 1
32,44,5.0,12.0,Pala 1
47,17,5.0,12.0,Pala 2
22,1,5.0,12.0,Pala 2
23,12,5.0,12.0,Pala 2
36,44,5.0,12.0,Pala 1
34,14,5.0,12.0,Pala 2
43,19,5.0,12.0,Pala 2
39,28,5.0,12.0,Pala 2
21,41,5.0,12.0,Pala 1
26,28,5.0,12.0,Pala 1
34,2,5.0,12.0,Pala 2
0,18,5.0,12.0,Pala 1
34,2,5.0,12.0,Pala 2
36,13,5.0,12.0,Pala 2
46,39,5.0,12.0,Pala 1
13,3,5.0,12.0,Pala 2
2,10,5.0,12.0,Pala 1
0,30,5.0,12.0,Pala 1
4,42,5.0,12.0,Pala 1
25,31,5.0,12.0,Pala 1
13,26,5.0,12.0,Pala 1
38,29,5.0,12.0,Pala 2
26,42,5.0,12.0,Pala 1
8,1,5.0,12.0,Pala 2
14,48,5.0,12.0,Pala 1
14,8,5.0,12.0,Pala 2
25,27,5.0,12.0,Pala 1
41,30,5.0,12.0,Pala 2
12,33,5.0,12.0,Pala 1
31,14,5.0,12.0,Pala 2
38,47,5.0,12.0,Pala 1
48,24,5.0,12.0,Pala 2
31,35,5.0,12.0,Pala 1
3,7,5.0,12.0,Pala 1
29,8,5.0,12.0,Pala 2
36,36,5.0,12.0,Pala 1
22,47,5.0,12.0,Pala 1
38,44,5.0,12.0,Pala 1
44,38,5.0,12.0,Pala 2
14,31,5.0,12.0,Pala 1
42,16,5.0,12.0,Pala 2
28,34,5.0,12.0,Pala 1
35,36,5.0,12.0,Pala 1
12,18,5.0,12.0,Pala 1
31,43,5.0,12.0,Pala 1
6,28,5.0,12.0,Pala 1
21,6,5.0,12.0,Pala 2
27,27,5.0,12.0,Pala 1
1,8,5.0,12.0,Pala 1
41,27,5.0,12.0,Pala 2
44,5,5.0,12.0,Pala 2
5,28,5.0,12.0,Pala 1
27,16,5.0,12.0,Pala 2
27,15,5.0,12.0,Pala 2
43,22,5.0,12.0,Pala 2
43,30,5.0,12.0,Pala 2
19,2,5.0,12.0,Pala 2
29,20,5.0,12.0,Pala 2
10,25,5.0,12.0,Pala 1
27,35,5.0,12.0,Pala 1
24,41,5.0,12.0,Pala 1
38,36,5.0,12.0,Pala 1
32,21,5.0,12.0,Pala 2
0,41,5.0,12.0,Pala 1
26,11,5.0,12.0,Pala 2
12,41,5.0,12.0,Pala 1
40,12,5.0,12.0,Pala 2
2,10,5.0,12.0,Pala 1
38,15,5.0,12.0,Pala 2
5,7,5.0,12.0,Pala 1
7,39,5.0,12.0,Pala 1
26,39,5.0,12.0,Pala 1
8,44,5.0,12.0,Pala 1
36,1,5.0,12.0,Pala 2
32,29,5.0,12.0,Pala 1
41,29,5.0,12.0,Pala 2
43,11,5.0,12.0,Pala 2
23,9,5.0,12.0,Pala 2
14,43,5.0,12.0,Pala 1
31,10,5.0,12.0,Pala 2
31,14,5.0,12.0,Pala 2
23,15,5.0,12.0,Pala 2
40,16,5.0,12.0,Pala 2
48,25,5.0,12.0,Pala 2
48,1,5.0,12.0,Pala 2
11,49,5.0,12.0,Pala 1
38,11,5.0,12.0,Pala 2
1,25,5.0,12.0,Pala 1
2,22,5.0,12.0,Pala 1
48,17,5.0,12.0,Pala 2
36,31,5.0,12.0,Pala 2
48,48,5.0,12.0,Pala 2
16,37,5.0,12.0,Pala 1
48,46,5.0,12.0,Pala 2
1,2,5.0,12.0,Pala 1
1,37,5.0,12.0,Pala 1
27,2,5.0,12.0,Pala 2
22,29,5.0,12.0,Pala 1
36,0,5.0,12.0,Pala 2
31,29,5.0,12.0,Pala 1
32,44,5.0,12.0,Pala 1
0,31,5.0,12.0,Pala 1
18,27,5.0,12.0,Pala 1
1,20,5.0,12.0,Pala 1
43,45,5.0,12.0,Pala 1
25,12,5.0,12.0,Pala 2
31,26,5.0,12.0,Pala 2
5,35,5.0,12.0,Pala 1
31,6,5.0,12.0,Pala 2
3,21,5.0,12.0,Pala 1
10,9,5.0,12.0,Pala 1
16,38,5.0,12.0,Pala 1
37,14,5.0,12.0,Pala 2
23,14,5.0,12.0,Pala 2
4,3,5.0,12.0,Pala 1
33,31,5.0,12.0,Pala 1
5,22,5.0,12.0,Pala 1
21,5,5.0,12.0,Pala 2
10,23,5.0,12.0,Pala 1
47,19,5.0,12.0,Pala 2
15,36,5.0,12.0,Pala 1
32,19,5.0,12.0,Pala 2
8,11,5.0,12.0,Pala 1
5,32,5.0,12.0,Pala 1
15,27,5.0,12.0,Pala 1
28,7,5.0,12.0,Pala 2
2,0,5.0,12.0,Pala 1
19,36,5.0,12.0,Pala 1
35,21,5.0,12.0,Pala 2
18,5,5.0,12.0,Pala 2
25,20,5.0,12.0,Pala 2
2,31,5.0,12.0,Pala 1
18,34,5.0,12.0,Pala 1
19,14,5.0,12.0,Pala 2
31,4,5.0,12.0,Pala 2
6,45,5.0,12.0,Pala 1
40,49,5.0,12.0,Pala 1
32,47,5.0,12.0,Pala 1
39,5,5.0,12.0,Pala 2
38,24,5.0,12.0,Pala 2
17,45,5.0,12.0,Pala 1
39,39,5.0,12.0,Pala 1
0,28,5.0,12.0,Pala 1
10,6,5.0,12.0,Pala 1
27,39,5.0,12.0,Pala 1
24,12,5.0,12.0,Pala 2
49,37,5.0,12.0,Pala 2
22,17,5.0,12.0,Pala 2
30,1,5.0,12.0,Pala 2
29,7,5.0,12.0,Pala 2
41,10,5.0,12.0,Pala 2
34,32,5.0,12.0,Pala 1
6,37,5.0,12.0,Pala 1
15,47,5.0,12.0,Pala 1
25,26,5.0,12.0,Pala 1
47,19,5.0,12.0,Pala 2
48,11,5.0,12.0,Pala 2
1,42,5.0,12.0,Pala 1
0,30,5.0,12.0,Pala 1
47,26,5.0,12.0,Pala 2
11,31,5.0,12.0,Pala 1
4,9,5.0,12.0,Pala 1
36,2,5.0,12.0,Pala 2
31,44,5.0,12.0,Pala 1
8,26,5.0,12.0,Pala 1
40,34,5.0,12.0,Pala 2
34,30,5.0,12.0,Pala 1
18,14,5.0,12.0,Pala 2
47,15,5.0,12.0,Pala 2
15,12,5.0,12.0,Pala 2
2,48,5.0,12.0,Pala 1
19,34,5.0,12.0,Pala 1
23,10,5.0,12.0,Pala 2
32,20,5.0,12.0,Pala 2
23,10,5.0,12.0,Pala 2
10,29,5.0,12.0,Pala 1
48,47,5.0,12.0,Pala 1
7,34,5.0,12.0,Pala 1
35,21,5.0,12.0,Pala 2
37,37,5.0,12.0,Pala 1
39,30,5.0,12.0,Pala 2
19,13,5.0,12.0,Pala 1
34,23,5.0,12.0,Pala 2
47,49,5.0,12.0,Pala 1
24,48,5.0,12.0,Pala 1
34,31,5.0,12.0,Pala 2
24,35,5.0,12.0,Pala 1
28,31,5.0,12.0,Pala 1
17,14,5.0,12.0,Pala 2
45,42,5.0,12.0,Pala 1
17,34,5.0,12.0,Pala 1
1,2,5.0,12.0,Pala 1
34,15,5.0,12.0,Pala 2
15,4,5.0,12.0,Pala 2
40,20,5.0,12.0,Pala 2
35,9,5.0,12.0,Pala 2
32,18,5.0,12.0,Pala 2
3,24,5.0,12.0,Pala 1
32,3,5.0,12.0,Pala 2
13,28,5.0,12.0,Pala 1
20,18,5.0,12.0,Pala 1
47,42,5.0,12.0,Pala 2
19,1,5.0,12.0,Pala 2
7,9,5.0,12.0,Pala 1
6,42,5.0,12.0,Pala 1
2,24,5.0,12.0,Pala 1
16,19,5.0,12.0,Pala 1
32,47,5.0,12.0,Pala 1
47,18,5.0,12.0,Pala 2
11,22,5.0,12.0,Pala 1
21,23,5.0,12.0,Pala 1
21,10,5.0,12.0,Pala 2
45,45,5.0,12.0,Pala 1
29,33,5.0,12.0,Pala 1
37,27,5.0,12.0,Pala 2
37,4,5.0,12.0,Pala 2
44,4,5.0,12.0,Pala 2
7,20,5.0,12.0,Pala 1
26,11,5.0,12.0,Pala 2
26,49,5.0,12.0,Pala 1
33,3,5.0,12.0,Pala 2
20,48,5.0,12.0,Pala 1
29,41,5.0,12.0,Pala 1
32,19,5.0,12.0,Pala 2
27,37,5.0,12.0,Pala 1
46,24,5.0,12.0,Pala 2
32,13,5.0,12.0,Pala 2
4,10,5.0,12.0,Pala 1
47,31,5.0,12.0,Pala 2
18,10,5.0,12.0,Pala 2
3,17,5.0,12.0,Pala 1
34,26,5.0,12.0,Pala 2
48,17,5.0,12.0,Pala 2
16,22,5.0,12.0,Pala 1
43,10,5.0,12.0,Pala 2
27,20,5.0,12.0,Pala 2
29,43,5.0,12.0,Pala 1
28,4,5.0,12.0,Pala 2
45,22,5.0,12.0,Pala 2
5,40,5.0,12.0,Pala 1
34,24,5.0,12.0,Pala 2
40,40,5.0,12.0,Pala 1
36,9,5.0,12.0,Pala 2
23,21,5.0,12.0,Pala 1
28,18,5.0,12.0,Pala 2
48,0,5.0,12.0,Pala 2
45,6,5.0,12.0,Pala 2
30,3,5.0,12.0,Pala 2
34,0,5.0,12.0,Pala 2
32,14,5.0,12.0,Pala 2
20,39,5.0,12.0,Pala 1
31,11,5.0,12.0,Pala 2
22,21,5.0,12.0,Pala 2
32,21,5.0,12.0,Pala 2
2,49,5.0,12.0,Pala 1
17,46,5.0,12.0,Pala 1
24,16,5.0,12.0,Pala 1
41,28,5.0,12.0,Pala 2
30,45,5.0,12.0,Pala 1
2,13,5.0,12.0,Pala 1
39,49,5.0,12.0,Pala 1
45,19,5.0,12.0,Pala 2
23,49,5.0,12.0,Pala 1
49,47,5.0,12.0,Pala 2
31,32,5.0,12.0,Pala 1
46,42,5.0,12.0,Pala 2
21,14,5.0,12.0,Pala 2
22,11,5.0,12.0,Pala 2
1,39,5.0,12.0,Pala 1
26,19,5.0,12.0,Pala 2
41,29,5.0,12.0,Pala 2
1,37,5.0,12.0,Pala 1
25,2,5.0,12.0,Pala 2
16,27,5.0,12.0,Pala 1
39,25,5.0,12.0,Pala 2
32,29,5.0,12.0,Pala 1
8,12,5.0,12.0,Pala 1
42,12,5.0,12.0,Pala 2
47,1,5.0,12.0,Pala 2
38,36,5.0,12.0,Pala 1
28,48,5.0,12.0,Pala 1
41,37,5.0,12.0,Pala 2
25,1,5.0,12.0,Pala 2
34,35,5.0,12.0,Pala 1
49,25,5.0,12.0,Pala 2
24,10,5.0,12.0,Pala 2
23,7,5.0,12.0,Pala 2
12,43,5.0,12.0,Pala 1
6,39,5.0,12.0,Pala 1
35,42,5.0,12.0,Pala 1
44,21,5.0,12.0,Pala 2
19,19,5.0,12.0,Pala 1
0,7,5.0,12.0,Pala 1
7,28,5.0,12.0,Pala 1
45,39,5.0,12.0,Pala 2
15,25,5.0,12.0,Pala 1
13,29,5.0,12.0,Pala 1
11,16,5.0,12.0,Pala 1
22,19,5.0,12.0,Pala 2
14,15,5.0,12.0,Pala 1
27,45,5.0,12.0,Pala 1
33,42,5.0,12.0,Pala 1
1,6,5.0,12.0,Pala 1
31,15,5.0,12.0,Pala 2
22,44,5.0,12.0,Pala 1
21,46,5.0,12.0,Pala 1
24,47,5.0,12.0,Pala 1
21,26,5.0,12.0,Pala 1
21,22,5.0,12.0,Pala 2
48,23,5.0,12.0,Pala 2
41,8,5.0,12.0,Pala 2
5,34,5.0,12.0,Pala 1
14,19,5.0,12.0,Pala 1
42,36,5.0,12.0,Pala 1
36,41,5.0,12.0,Pala 1
32,16,5.0,12.0,Pala 2
7,46,5.0,12.0,Pala 1
43,30,5.0,12.0,Pala 2
43,7,5.0,12.0,Pala 2
4,14,5.0,12.0,Pala 1
38,30,5.0,12.0,Pala 1
3,29,5.0,12.0,Pala 1
5,45,5.0,12.0,Pala 1
44,19,5.0,12.0,Pala 2
31,38,5.0,12.0,Pala 1
29,11,5.0,12.0,Pala 2
46,48,5.0,12.0,Pala 2
34,16,5.0,12.0,Pala 2
39,41,5.0,12.0,Pala 1
15,29,5.0,12.0,Pala 1
12,28,5.0,12.0,Pala 1
49,18,5.0,12.0,Pala 2
41,45,5.0,12.0,Pala 1
29,10,5.0,12.0,Pala 2
18,33,5.0,12.0,Pala 1
16,49,5.0,12.0,Pala 1
18,6,5.0,12.0,Pala 2
27,43,5.0,12.0,Pala 1
25,33,5.0,12.0,Pala 1
36,19,5.0,12.0,Pala 2
25,49,5.0,12.0,Pala 1
22,37,5.0,12.0,Pala 1
8,23,5.0,12.0,Pala 1
11,9,5.0,12.0,Pala 2
0,31,5.0,12.0,Pala 1
0,14,5.0,12.0,Pala 1
46,36,5.0,12.0,Pala 2
33,19,5.0,12.0,Pala 2
31,2,5.0,12.0,Pala 2
47,36,5.0,12.0,Pala 2
24,39,5.0,12.0,Pala 1
39,7,5.0,12.0,Pala 2
44,39,5.0,12.0,Pala 2
0,43,5.0,12.0,Pala 1
15,22,5.0,12.0,Pala 1
38,39,5.0,12.0,Pala 1
4,10,5.0,12.0,Pala 1
21,45,5.0,12.0,Pala 1
28,7,5.0,12.0,Pala 2
2,28,5.0,12.0,Pala 1
11,29,5.0,12.0,Pala 1
25,9,5.0,12.0,Pala 2
15,38,5.0,12.0,Pala 1
36,27,5.0,12.0,Pala 2
21,48,5.0,12.0,Pala 1
28,35,5.0,12.0,Pala 1
13,12,5.0,12.0,Pala 1
27,31,5.0,12.0,Pala 1
4,35,5.0,12.0,Pala 1
46,36,5.0,12.0,Pala 2
48,25,5.0,12.0,Pala 2
29,21,5.0,12.0,Pala 1
45,3,5.0,12.0,Pala 2
4,30,5.0,12.0,Pala 1
11,17,5.0,12.0,Pala 1
15,37,5.0,12.0,Pala 1
25,23,5.0,12.0,Pala 1
25,22,5.0,12.0,Pala 2
47,21,5.0,12.0,Pala 2
20,1,5.0,12.0,Pala 2
38,30,5.0,12.0,Pala 2
35,10,5.0,12.0,Pala 2
32,27,5.0,12.0,Pala 2
29,45,5.0,12.0,Pala 1
36,31,5.0,12.0,Pala 2
22,4,5.0,12.0,Pala 2
9,37,5.0,12.0,Pala 1
4,9,5.0,12.0,Pala 1
35,39,5.0,12.0,Pala 1
33,45,5.0,12.0,Pala 1
30,23,5.0,12.0,Pala 2
9,34,5.0,12.0,Pala 1
18,43,5.0,12.0,Pala 1
31,47,5.0,12.0,Pala 1
0,22,5.0,12.0,Pala 1
4,16,5.0,12.0,Pala 1
44,0,5.0,12.0,Pala 2
3,30,5.0,12.0,Pala 1
15,30,5.0,12.0,Pala 1
23,41,5.0,12.0,Pala 1
15,41,5.0,12.0,Pala 1
1,33,5.0,12.0,Pala 1
48,8,5.0,12.0,Pala 2
27,21,5.0,12.0,Pala 2
31,12,5.0,12.0,Pala 2
26,24,5.0,12.0,Pala 2
19,47,5.0,12.0,Pala 1
23,17,5.0,12.0,Pala 2
11,11,5.0,12.0,Pala 2
49,39,5.0,12.0,Pala 2
34,16,5.0,12.0,Pala 2
32,14,5.0,12.0,Pala 2
32,41,5.0,12.0,Pala 1
42,14,5.0,12.0,Pala 2
36,14,5.0,12.0,Pala 2
11,38,5.0,12.0,Pala 1
2,12,5.0,12.0,Pala 1
0,16,5.0,12.0,Pala 1
32,31,5.0,12.0,Pala 1
39,8,5.0,12.0,Pala 2
9,39,5.0,12.0,Pala 1
42,19,5.0,12.0,Pala 2
43,25,5.0,12.0,Pala 2
28,26,5.0,12.0,Pala 2
12,20,5.0,12.0,Pala 1
11,17,5.0,12.0,Pala 1
30,12,5.0,12.0,Pala 2
45,15,5.0,12.0,Pala 2
1,8,5.0,12.0,Pala 1
49,11,5.0,12.0,Pala 2
34,43,5.0,12.0,Pala 1
22,37,5.0,12.0,Pala 1
16,18,5.0,12.0,Pala 1
25,6,5.0,12.0,Pala 2
7,34,5.0,12.0,Pala 1
28,47,5.0,12.0,Pala 1
25,17,5.0,12.0,Pala 2
9,15,5.0,12.0,Pala 1
25,38,5.0,12.0,Pala 1
33,3,5.0,12.0,Pala 2
40,24,5.0,12.0,Pala 2
6,31,5.0,12.0,Pala 1
3,39,5.0,12.0,Pala 1
49,12,5.0,12.0,Pala 2
44,44,5.0,12.0,Pala 1
10,16,5.0,12.0,Pala 1
28,48,5.0,12.0,Pala 1
35,36,5.0,12.0,Pala 1
24,5,5.0,12.0,Pala 2
20,18,5.0,12.0,Pala 1
35,12,5.0,12.0,Pala 2
9,25,5.0,12.0,Pala 1
36,13,5.0,12.0,Pala 2
8,30,5.0,12.0,Pala 1
23,3,5.0,12.0,Pala 2
34,38,5.0,12.0,Pala 1
48,7,5.0,12.0,Pala 2
34,24,5.0,12.0,Pala 2
47,12,5.0,12.0,Pala 2
35,31,5.0,12.0,Pala 1
17,37,5.0,12.0,Pala 1
48,37,5.0,12.0,Pala 2
38,27,5.0,12.0,Pala 2
31,29,5.0,12.0,Pala 1
23,2,5.0,12.0,Pala 2
22,27,5.0,12.0,Pala 1
31,2,5.0,12.0,Pala 2
36,44,5.0,12.0,Pala 1
11,33,5.0,12.0,Pala 1
48,15,5.0,12.0,Pala 2
12,21,5.0,12.0,Pala 1
22,31,5.0,12.0,Pala 1
24,37,5.0,12.0,Pala 1
34,7,5.0,12.0,Pala 2
40,7,5.0,12.0,Pala 2
29,5,5.0,12.0,Pala 2
16,13,5.0,12.0,Pala 2
48,31,5.0,12.0,Pala 2
19,34,5.0,12.0,Pala 1
47,9,5.0,12.0,Pala 2
24,2,5.0,12.0,Pala 2
21,11,5.0,12.0,Pala 2
12,48,5.0,12.0,Pala 1
18,30,5.0,12.0,Pala 1
48,28,5.0,12.0,Pala 2
35,4,5.0,12.0,Pala 2
11,24,5.0,12.0,Pala 1
40,40,5.0,12.0,Pala 1
18,30,5.0,12.0,Pala 1
11,20,5.0,12.0,Pala 1
8,19,5.0,12.0,Pala 1
6,38,5.0,12.0,Pala 1
27,21,5.0,12.0,Pala 1
13,3,5.0,12.0,Pala 2
30,12,5.0,12.0,Pala 2
18,44,5.0,12.0,Pala 1
46,41,5.0,12.0,Pala 1
15,49,5.0,12.0,Pala 1
4,48,5.0,12.0,Pala 1
34,19,5.0,12.0,Pala 2
11,12,5.0,12.0,Pala 1
24,16,5.0,12.0,Pala 2
20,35,5.0,12.0,Pala 1
35,32,5.0,12.0,Pala 1
22,0,5.0,12.0,Pala 2
15,14,5.0,12.0,Pala 2
38,12,5.0,12.0,Pala 2
44,16,5.0,12.0,Pala 2
41,23,5.0,12.0,Pala 2
38,7,5.0,12.0,Pala 2
13,49,5.0,12.0,Pala 1
30,26,5.0,12.0,Pala 2
4,44,5.0,12.0,Pala 1
34,22,5.0,12.0,Pala 2
22,45,5.0,12.0,Pala 1
28,7,5.0,12.0,Pala 2
42,7,5.0,12.0,Pala 2
10,25,5.0,12.0,Pala 1
17,46,5.0,12.0,Pala 1
46,12,5.0,12.0,Pala 2
11,38,5.0,12.0,Pala 1
8,36,5.0,12.0,Pala 1
9,48,5.0,12.0,Pala 1
43,27,5.0,12.0,Pala 2
16,24,5.0,12.0,Pala 1
37,15,5.0,12.0,Pala 2
6,1,5.0,12.0,Pala 2
45,17,5.0,12.0,Pala 2
12,16,5.0,12.0,Pala 1
39,29,5.0,12.0,Pala 2
41,38,5.0,12.0,Pala 2
8,12,5.0,12.0,Pala 1
49,31,5.0,12.0,Pala 2
26,49,5.0,12.0,Pala 1
1,28,5.0,12.0,Pala 1
4,45,5.0,12.0,Pala 1
28,29,5.0,12.0,Pala 1
36,17,5.0,12.0,Pala 2
37,12,5.0,12.0,Pala 2
18,42,5.0,12.0,Pala 1
7,20,5.0,12.0,Pala 1
47,29,5.0,12.0,Pala 2
44,20,5.0,12.0,Pala 2
0,47,5.0,12.0,Pala 1
21,16,5.0,12.0,Pala 1
16,39,5.0,12.0,Pala 1
6,18,5.0,12.0,Pala 1
24,14,5.0,12.0,Pala 2
44,8,5.0,12.0,Pala 2
3,9,5.0,12.0,Pala 1
35,43,5.0,12.0,Pala 1
5,30,5.0,12.0,Pala 1
30,22,5.0,12.0,Pala 2
18,29,5.0,12.0,Pala 1
43,32,5.0,12.0,Pala 2
38,8,5.0,12.0,Pala 2
26,46,5.0,12.0,Pala 1
9,0,5.0,12.0,Pala 2
25,43,5.0,12.0,Pala 1
18,34,5.0,12.0,Pala 1
38,10,5.0,12.0,Pala 2
2,33,5.0,12.0,Pala 1
44,15,5.0,12.0,Pala 2
12,8,5.0,12.0,Pala 1
49,31,5.0,12.0,Pala 2
27,14,5.0,12.0,Pala 2
19,11,5.0,12.0,Pala 2
27,32,5.0,12.0,Pala 1
7,44,5.0,12.0,Pala 1
40,13,5.0,12.0,Pala 2
38,7,5.0,12.0,Pala 2
0,7,5.0,12.0,Pala 1
2,26,5.0,12.0,Pala 1
12,11,5.0,12.0,Pala 1
27,0,5.0,12.0,Pala 2
48,42,5.0,12.0,Pala 2
24,39,5.0,12.0,Pala 1
32,41,5.0,12.0,Pala 1
37,10,5.0,12.0,Pala 2
5,38,5.0,12.0,Pala 1
43,42,5.0,12.0,Pala 2
44,30,5.0,12.0,Pala 2
31,16,5.0,12.0,Pala 2
44,32,5.0,12.0,Pala 2
46,31,5.0,12.0,Pala 2
20,28,5.0,12.0,Pala 1
15,20,5.0,12.0,Pala 1
20,20,5.0,12.0,Pala 1
10,39,5.0,12.0,Pala 1
36,22,5.0,12.0,Pala 2
35,5,5.0,12.0,Pala 2
34,21,5.0,12.0,Pala 2
18,49,5.0,12.0,Pala 1
19,37,5.0,12.0,Pala 1
17,36,5.0,12.0,Pala 1
46,44,5.0,12.0,Pala 2
40,7,5.0,12.0,Pala 2
48,40,5.0,12.0,Pala 2
13,48,5.0,12.0,Pala 1
14,34,5.0,12.0,Pala 1
30,10,5.0,12.0,Pala 2
0,23,5.0,12.0,Pala 1
2,48,5.0,12.0,Pala 1
15,20,5.0,12.0,Pala 1
22,1,5.0,12.0,Pala 2
10,39,5.0,12.0,Pala 1
11,18,5.0,12.0,Pala 1
9,38,5.0,12.0,Pala 1
31,27,5.0,12.0,Pala 1
15,16,5.0,12.0,Pala 1
7,5,5.0,12.0,Pala 2
37,18,5.0,12.0,Pala 2
11,37,5.0,12.0,Pala 1
23,27,5.0,12.0,Pala 1
27,1,5.0,12.0,Pala 2
7,37,5.0,12.0,Pala 1
27,36,5.0,12.0,Pala 1
35,3,5.0,12.0,Pala 2
25,21,5.0,12.0,Pala 1
7,25,5.0,12.0,Pala 1
49,48,5.0,12.0,Pala 1
27,42,5.0,12.0,Pala 1
27,35,5.0,12.0,Pala 1
36,12,5.0,12.0,Pala 2
40,31,5.0,12.0,Pala 2
35,16,5.0,12.0,Pala 2
26,40,5.0,12.0,Pala 1
16,35,5.0,12.0,Pala 1
8,45,5.0,12.0,Pala 1
32,18,5.0,12.0,Pala 2
19,34,5.0,12.0,Pala 1
12,45,5.0,12.0,Pala 1
27,39,5.0,12.0,Pala 1
47,27,5.0,12.0,Pala 2
28,0,5.0,12.0,Pala 2
12,41,5.0,12.0,Pala 1
45,17,5.0,12.0,Pala 2
34,47,5.0,12.0,Pala 1
5,39,5.0,12.0,Pala 1
17,32,5.0,12.0,Pala 1
4,11,5.0,12.0,Pala 1
46,7,5.0,12.0,Pala 2
24,23,5.0,12.0,Pala 2
1,15,5.0,12.0,Pala 1
9,49,5.0,12.0,Pala 1
29,3,5.0,12.0,Pala 2
49,37,5.0,12.0,Pala 1
44,43,5.0,12.0,Pala 1
4,26,5.0,12.0,Pala 1
32,8,5.0,12.0,Pala 2
0,46,5.0,12.0,Pala 1
17,15,5.0,12.0,Pala 1
